City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,ust'-ilimsk,58.0006,102.6619,2.14,69,100,4.12,RU,1682994001
131,namibe,-15.1961,12.1522,22.38,83,13,2.3,AO,1682994002
132,yeppoon,-23.1333,150.7333,26.88,57,100,3.35,AU,1682994003
133,qaqortoq,60.7167,-46.0333,1.3,67,100,3.48,GL,1682994004
134,aguas vermelhas,-15.7472,-41.46,18.74,94,98,1.24,BR,1682994006
135,itoman,26.1247,127.6694,25.22,53,0,8.75,JP,1682994007
136,revda,56.801,59.9303,7.94,82,96,2.74,RU,1682994008
137,loikaw,19.6742,97.2094,29.18,47,91,1.65,MM,1682994009
138,remire-montjoly,4.9167,-52.2667,24.02,94,40,0.0,GF,1682994010
139,cheat lake,39.672,-79.8534,5.58,93,100,1.79,US,1682994011
140,koungheul,13.9833,-14.8,25.08,58,0,4.08,SN,1682994012
141,la mira,18.035,-102.3266,24.14,66,0,1.58,MX,1682994014
142,hamilton,39.1834,-84.5333,6.24,93,100,2.57,US,1682993804
143,yerofey pavlovich,53.9667,121.9667,9.66,60,100,3.72,RU,1682994016
144,batangafo,7.3008,18.2833,23.41,55,42,1.98,CF,1682994017
145,filadelfia,39.9523,-75.1638,12.28,74,40,3.09,US,1682993875
146,kruisfontein,-34.0033,24.7314,11.6,93,100,3.06,ZA,1682994019
147,dakhla,23.6848,-15.958,19.63,78,0,6.7,EH,1682994020
148,new norfolk,-42.7826,147.0587,15.72,67,76,1.88,AU,1682994021
149,el sauzal de rodriguez,31.9,-116.6833,14.12,69,69,4.39,MX,1682994022
150,jabor,5.921,169.6434,28.03,80,99,6.96,MH,1682994024
151,onguday,50.75,86.15,-1.1,69,100,1.07,RU,1682994025
152,hermanus,-34.4187,19.2345,11.0,76,100,1.79,ZA,1682994026
153,ed damer,17.5928,33.9592,23.97,10,35,4.58,SD,1682994027
154,ilebo,-4.3167,20.5833,21.38,96,100,0.68,CD,1682994029
